,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Lindsey Hallen, 31-year-old emergency room nurse in Manhattan, is heading to West Africa to join the fight against Ebola as a volunteer with Boston-based organization Partners in Health.",2015-01-18,article,A Nurse Decides to Get Hands-On in the Ebola Zone,54b9bd967988105027ba22db,Metro,"While most accounts of American health workers have focused on the ones returning, Lindsey Hallen, an emergency room nurse in Manhattan, is heading to West Africa to fight an epidemic that has killed more than 8,000 people.",N.Y. / Region,,"A Nurse Decides to Get Hands-On in the Ebola Zone While most accounts of American health workers have focused on the ones returning, Lindsey Hallen, an emergency room nurse in Manhattan, is heading to West Africa to fight an epidemic that has killed more than 8,000 people. Lindsey Hallen, 31-year-old emergency room nurse in Manhattan, is heading to West Africa to join the fight against Ebola as a volunteer with Boston-based organization Partners in Health.",News
1,,2015-01-25,article,"Paid Notice: Memorials  MARTIKAINEN, DR. A. HELEN. OF CHAPEL HILL, NC, AGE 98, DIED ON JANUARY 16, 2015 AT CAROL WOODS RETIREMENT COMMUNITY. BORN AND RAISED IN HARRISON, ME SHE WAS THE DAUGHTER OF THE LATE SYLVESTER AND EMMA MARTIKAINEN. SHE GRADUATED FROM BRIDGTON ACADEMY, AND RECEIVED HER B.A. DEGREE FROM BATES COLLEGE, AND RECEIVED POST GRADUATE DEGREES IN PUBLIC HEALTH FROM YALE AND HARVARD. DR. MARTIKAINEN SERVED AS HEALTH EDUCATION SPECIALIST WITH THE PUBLIC HEALTH SOCIETY HARTFORD, CT AND SEVERAL YEARS WITH UNITED STATES PUBLIC HEALTH SERVICE, WASHINGTON, DC. DURING SERVICE WITH USPHS, SHE WAS ASSIGNED TO OKLAHOMA, AND AN EXTENDED ASSIGNMENT AS ACTING DIRECTOR HEALTH EDUCATION WITH NORTH CAROLINA BOARD PUBLIC HEALTH, RALEIGH, NC. IN 1949, DR. MARTIKAINEN WAS APPOINTED FIRST CHIEF OF HEALTH EDUCATION, HEADQUARTERS, WORLD HEALTH ORGANIZATION (WHO), GENEVA, SWITZERLAND (1949, 1974). SHE ASSISTED NATIONAL HEALTH PROGRAMS IN COUNTRIES WORLDWIDE. RETIREMENT IN CHAPEL HILL IN 1978, SHE VOLUNTEERED WITH N.C. DIVISION AMERICAN ASSOCIATION OF UNIVERSITY WOMEN, UNITED NATIONS ASSOCIATION OF USA, N.C. COALITION OF AGING, WOMEN'S ISSUES, EPISCOPAL DIOCESE OF N.C. SHE WAS A MEMBER OF WOMEN'S FORUM OF N.C., BOARD OF DIRECTORS FOR N.C. CENTER OF LAWS AFFECTING WOMEN, BOARD OF ORANGE COUNTY WOMEN'S CENTER, ADVISORY BOARD UNC SCHOOL OF PUBLIC HEALTH, NC ASSOCIATION OF PUBLIC HEALTH AND PUBLIC HEALTH ALUMNI OF HARVARD UNIVERSITY. AT CAROL WOODS, SHE SERVED AS CHAIR, RESIDENTS COMMITTEE FOR HEALTH; MEMBER OF RESIDENTS COUNCIL, CHAPEL OF CROSS, CENTER OF PUBLIC POLICY RESEARCH. HER AWARDS INCLUDE: HONORARY DOCTORATE DEGREES OF SCIENCE FROM BATES COLLEGE AND SMITH COLLEGE; INTERNATIONAL AWARD, AMERICAN PUBLIC HEALTH ASSOC.; ELIJAH BENJAMIN MAYS AWARD, BATES COLLEGE; WOMEN OF DISTINCTION AWARD, NC COUNCIL; SPECIAL MEDAL FROM NATIONAL ACADEMY OF MEDICINE, FRANCE; HONORARY TRUSTEE HALL OF FAME BRIDGTON ACADEMY; ELECTION TO PHI BETA KAPPA, BATES COLLEGE; DELTA OMEGA CHAPTER, YALE UNIVERSITY, LISTED IN WHO'S WHO: AMERICAN WOMEN, WORLD HEALTH CARE & MEDICINE. SHE WAS PREDECEASED BY BROTHERS, REINO J. MARTIKAINEN AND ERNEST W. MARTIKAINEN AND SISTER IRJA M. BOWNES. SHE IS SURVIVED BY A SISTER, SYLVIA M. MARTIN, SISTER, IN, LAW, MRS. ERNEST W. (PRISCILLA) MARTIKAINEN AND SEVERAL NIECES AND NEPHEWS. IN LIEU OF FLOWERS, MEMORIALS MADE TO: THE CHAPEL OF THE CROSS, 304 E. FRANKLIN ST., CHAPEL HILL, NC 27514. 1",54cef6b179881002ee7b4800,Classified,"MARTIKAINEN--Dr. A. Helen. Of Chapel Hill, NC, age 98, died on January 16, 2015 at Carol Woods Retirement Community. Born and raised in Harrison, ME she was the daughter of the late Sylvester and Emma Martikainen. She graduated from Bridgton Academy, and received her B.A. degree from Bates College, and received post graduate degrees in public health from Yale and Harvard. Dr. Martikainen served as health education specialist with the Public Health Society Hartford, CT and several years with United States Public Health Service, Washington, DC. During service with USPHS, she was assigned to Oklahoma, and an extended assignment as Acting Director Health Education with North Carolina Board Public Health, Raleigh, NC. In 1949, Dr. Martikainen was appointed first Chief of Health Education, Headquarters, World Health Organization (WHO), Geneva, Switzerland (1949-1974). She assisted national health programs in countries worldwide. Retirement in Chapel Hill in 1978, she volunteered with N.C. Division American Association of University Women, United Nations Association of USA, N.C. Coalition of Aging, Women's Issues, Episcopal Diocese of N.C. She was a member of Women's Forum of N.C., Board of Directors for N.C. Center of Laws Affecting Women, Board of Orange County Women's Center, Advisory Board UNC School of Public Health, NC Association of Public Health and Public Health Alumni of Harvard University. At Carol Woods, she served as Chair, Residents Committee for Health; member of Residents Council, Chapel of Cross, Center of Public Policy Research. Her awards include: honorary doctorate degrees of science from Bates College and Smith College; International Award, American Public Health Assoc.; Elijah Benjamin Mays Award, Bates College; Women of Distinction Award, NC Council; special medal from National Academy of Medicine, France; Honorary Trustee Hall of Fame Bridgton Academy; election to Phi Beta Kappa, Bates College; Delta Omega Chapter, Yale University, Listed in WHO'S WHO: American Women, World Health Care & Medicine. She was predeceased by brothers, Reino J. Martikainen and Ernest W. Martikainen and sister Irja M. Bownes. She is survived by a sister, Sylvia M. Martin, sister-in-law, Mrs. Ernest W. (Priscilla) Martikainen and several nieces and nephews. In lieu of flowers, memorials made to: The Chapel of The Cross, 304 E. Franklin St., Chapel Hill, NC 27514. 1",Paid Death Notices,,"Paid Notice: Memorials  MARTIKAINEN, DR. A. HELEN. OF CHAPEL HILL, NC, AGE 98, DIED ON JANUARY 16, 2015 AT CAROL WOODS RETIREMENT COMMUNITY. BORN AND RAISED IN HARRISON, ME SHE WAS THE DAUGHTER OF THE LATE SYLVESTER AND EMMA MARTIKAINEN. SHE GRADUATED FROM BRIDGTON ACADEMY, AND RECEIVED HER B.A. DEGREE FROM BATES COLLEGE, AND RECEIVED POST GRADUATE DEGREES IN PUBLIC HEALTH FROM YALE AND HARVARD. DR. MARTIKAINEN SERVED AS HEALTH EDUCATION SPECIALIST WITH THE PUBLIC HEALTH SOCIETY HARTFORD, CT AND SEVERAL YEARS WITH UNITED STATES PUBLIC HEALTH SERVICE, WASHINGTON, DC. DURING SERVICE WITH USPHS, SHE WAS ASSIGNED TO OKLAHOMA, AND AN EXTENDED ASSIGNMENT AS ACTING DIRECTOR HEALTH EDUCATION WITH NORTH CAROLINA BOARD PUBLIC HEALTH, RALEIGH, NC. IN 1949, DR. MARTIKAINEN WAS APPOINTED FIRST CHIEF OF HEALTH EDUCATION, HEADQUARTERS, WORLD HEALTH ORGANIZATION (WHO), GENEVA, SWITZERLAND (1949, 1974). SHE ASSISTED NATIONAL HEALTH PROGRAMS IN COUNTRIES WORLDWIDE. RETIREMENT IN CHAPEL HILL IN 1978, SHE VOLUNTEERED WITH N.C. DIVISION AMERICAN ASSOCIATION OF UNIVERSITY WOMEN, UNITED NATIONS ASSOCIATION OF USA, N.C. COALITION OF AGING, WOMEN'S ISSUES, EPISCOPAL DIOCESE OF N.C. SHE WAS A MEMBER OF WOMEN'S FORUM OF N.C., BOARD OF DIRECTORS FOR N.C. CENTER OF LAWS AFFECTING WOMEN, BOARD OF ORANGE COUNTY WOMEN'S CENTER, ADVISORY BOARD UNC SCHOOL OF PUBLIC HEALTH, NC ASSOCIATION OF PUBLIC HEALTH AND PUBLIC HEALTH ALUMNI OF HARVARD UNIVERSITY. AT CAROL WOODS, SHE SERVED AS CHAIR, RESIDENTS COMMITTEE FOR HEALTH; MEMBER OF RESIDENTS COUNCIL, CHAPEL OF CROSS, CENTER OF PUBLIC POLICY RESEARCH. HER AWARDS INCLUDE: HONORARY DOCTORATE DEGREES OF SCIENCE FROM BATES COLLEGE AND SMITH COLLEGE; INTERNATIONAL AWARD, AMERICAN PUBLIC HEALTH ASSOC.; ELIJAH BENJAMIN MAYS AWARD, BATES COLLEGE; WOMEN OF DISTINCTION AWARD, NC COUNCIL; SPECIAL MEDAL FROM NATIONAL ACADEMY OF MEDICINE, FRANCE; HONORARY TRUSTEE HALL OF FAME BRIDGTON ACADEMY; ELECTION TO PHI BETA KAPPA, BATES COLLEGE; DELTA OMEGA CHAPTER, YALE UNIVERSITY, LISTED IN WHO'S WHO: AMERICAN WOMEN, WORLD HEALTH CARE & MEDICINE. SHE WAS PREDECEASED BY BROTHERS, REINO J. MARTIKAINEN AND ERNEST W. MARTIKAINEN AND SISTER IRJA M. BOWNES. SHE IS SURVIVED BY A SISTER, SYLVIA M. MARTIN, SISTER, IN, LAW, MRS. ERNEST W. (PRISCILLA) MARTIKAINEN AND SEVERAL NIECES AND NEPHEWS. IN LIEU OF FLOWERS, MEMORIALS MADE TO: THE CHAPEL OF THE CROSS, 304 E. FRANKLIN ST., CHAPEL HILL, NC 27514. 1 MARTIKAINEN--Dr. A. Helen. Of Chapel Hill, NC, age 98, died on January 16, 2015 at Carol Woods Retirement Community. Born and raised in Harrison, ME she was the daughter of the late Sylvester and Emma Martikainen. She graduated from Bridgton Academy, and received her B.A. degree from Bates College, and received post graduate degrees in public health from Yale and Harvard. Dr. Martikainen served as health education specialist with the Public Health Society Hartford, CT and several years with United States Public Health Service, Washington, DC. During service with USPHS, she was assigned to Oklahoma, and an extended assignment as Acting Director Health Education with North Carolina Board Public Health, Raleigh, NC. In 1949, Dr. Martikainen was appointed first Chief of Health Education, Headquarters, World Health Organization (WHO), Geneva, Switzerland (1949-1974). She assisted national health programs in countries worldwide. Retirement in Chapel Hill in 1978, she volunteered with N.C. Division American Association of University Women, United Nations Association of USA, N.C. Coalition of Aging, Women's Issues, Episcopal Diocese of N.C. She was a member of Women's Forum of N.C., Board of Directors for N.C. Center of Laws Affecting Women, Board of Orange County Women's Center, Advisory Board UNC School of Public Health, NC Association of Public Health and Public Health Alumni of Harvard University. At Carol Woods, she served as Chair, Residents Committee for Health; member of Residents Council, Chapel of Cross, Center of Public Policy Research. Her awards include: honorary doctorate degrees of science from Bates College and Smith College; International Award, American Public Health Assoc.; Elijah Benjamin Mays Award, Bates College; Women of Distinction Award, NC Council; special medal from National Academy of Medicine, France; Honorary Trustee Hall of Fame Bridgton Academy; election to Phi Beta Kappa, Bates College; Delta Omega Chapter, Yale University, Listed in WHO'S WHO: American Women, World Health Care & Medicine. She was predeceased by brothers, Reino J. Martikainen and Ernest W. Martikainen and sister Irja M. Bownes. She is survived by a sister, Sylvia M. Martin, sister-in-law, Mrs. Ernest W. (Priscilla) Martikainen and several nieces and nephews. In lieu of flowers, memorials made to: The Chapel of The Cross, 304 E. Franklin St., Chapel Hill, NC 27514. 1  ",Paid Death Notice
2,"World Health Organization says number of people becoming infected with Ebola virus in West Africa has fallen to lowest level in months; warns, however, that lack of funding and approach of rainy season may stymie efforts to control disease.",2015-01-24,article,Officials Say Ebola Cases Are Falling In West Africa ,54c2a7227988105978d81c00,Foreign,"Officials said that there had been a substantial reduction in new cases, but that dwindling funds and the approaching rainy season were a problem.",World,Africa,"Officials Say Ebola Cases Are Falling In West Africa  Officials said that there had been a substantial reduction in new cases, but that dwindling funds and the approaching rainy season were a problem. World Health Organization says number of people becoming infected with Ebola virus in West Africa has fallen to lowest level in months; warns, however, that lack of funding and approach of rainy season may stymie efforts to control disease.",News
3,"World Health Organization reports that 15 serious cases of H7N9 avian flu in humans have been confirmed by Chinese authorities, with three patients dying and the rest in critical condition.",2015-01-20,article,China: W.H.O. Reports 3 Deaths Among Bird Flu Cases in Humans,54bdc2907988103cf6190cd7,Foreign,"The deaths were among serious cases of H7N9 avian flu in humans confirmed by China, the World Health Organization reported Monday.",World,Asia Pacific,"China: W.H.O. Reports 3 Deaths Among Bird Flu Cases in Humans The deaths were among serious cases of H7N9 avian flu in humans confirmed by China, the World Health Organization reported Monday. World Health Organization reports that 15 serious cases of H7N9 avian flu in humans have been confirmed by Chinese authorities, with three patients dying and the rest in critical condition.",Brief
4,,2015-01-27,article,Canada: Residents Tests Positive for H7N9 Bird Flu After Trip to China,54c6f9b8798810239ad253f0,Foreign,"A resident of British Columbia has tested positive for the H7N9 avian flu virus in the first documented case of the infection in a human in North America, the federal government said Monday.",World,Americas,"Canada: Residents Tests Positive for H7N9 Bird Flu After Trip to China A resident of British Columbia has tested positive for the H7N9 avian flu virus in the first documented case of the infection in a human in North America, the federal government said Monday.  ",Brief
5,"Coalition of some of America's largest health care systems and insurers pledges to fundamentally alter how hospitals and doctors are paid; shift would place far less emphasis on quantity of delivered care, focusing instead on improving quality and lowering costs; plans are in line with changes signaled by Health and Human Services Secretary Sylvia M Burwell.",2015-01-28,article,Industry Group to Back Results-Focused Care,54c86d1479881078889c7748,Business,"The new coalition said it is committed to finding a way to change financial incentives, moving the bulk of payments to so-called &#8220;value-based&#8221; arrangements by 2020.",Business Day,,"Industry Group to Back Results-Focused Care The new coalition said it is committed to finding a way to change financial incentives, moving the bulk of payments to so-called &#8220;value-based&#8221; arrangements by 2020. Coalition of some of America's largest health care systems and insurers pledges to fundamentally alter how hospitals and doctors are paid; shift would place far less emphasis on quantity of delivered care, focusing instead on improving quality and lowering costs; plans are in line with changes signaled by Health and Human Services Secretary Sylvia M Burwell.",News
6,"World Health Organization, responding to criticism of slow and ineffective action on Ebola epidemic, backs changes to fortify its emergency response to outbreaks and other health crises.",2015-01-26,article,W.H.O. Members Endorse Resolution to Improve Response to Health Emergencies,54c59eb179881055335778b2,Foreign,"Key provisions include creating a global cadre of emergency health workers, establishing a fund that could be tapped quickly, and support for the development of treatments for emerging infectious diseases.",World,,"W.H.O. Members Endorse Resolution to Improve Response to Health Emergencies Key provisions include creating a global cadre of emergency health workers, establishing a fund that could be tapped quickly, and support for the development of treatments for emerging infectious diseases. World Health Organization, responding to criticism of slow and ineffective action on Ebola epidemic, backs changes to fortify its emergency response to outbreaks and other health crises.",News
7,Nigerian health and veterinary authorities report outbreaks of avian flu in both southern and northern ends of the country.,2015-01-17,article,Nigeria: 2 Regions Report New Outbreaks of Bird Flu,54b9dc927988105027ba2317,Foreign,The health and veterinary authorities on Friday reported outbreaks of avian flu hundreds of miles apart on opposite ends of Nigeria.,World,Africa,Nigeria: 2 Regions Report New Outbreaks of Bird Flu The health and veterinary authorities on Friday reported outbreaks of avian flu hundreds of miles apart on opposite ends of Nigeria. Nigerian health and veterinary authorities report outbreaks of avian flu in both southern and northern ends of the country.,Brief
8,"World Health Organization appoints Dr Matshidiso Moeti as regional director for Africa; Moeti says she is committed to reforming office, which has long been viewed as ineffective, criticism that was validated by slow response to Ebola outbreak in West Africa.",2015-01-28,article,Botswana Doctor Is Named to Lead W.H.O. in Africa,54c81eb679881078889c7683,Foreign,"The much-praised appointee, Dr. Matshidiso Moeti, promised to overhaul the regional office, which has faced criticism for its slow response to the Ebola crisis.",World,Africa,"Botswana Doctor Is Named to Lead W.H.O. in Africa The much-praised appointee, Dr. Matshidiso Moeti, promised to overhaul the regional office, which has faced criticism for its slow response to the Ebola crisis. World Health Organization appoints Dr Matshidiso Moeti as regional director for Africa; Moeti says she is committed to reforming office, which has long been viewed as ineffective, criticism that was validated by slow response to Ebola outbreak in West Africa.",News
9,,2015-01-27,article,Diagnosis: The View of the Psychiatric Association,54c74bdb798810239ad254a1,Letters,"The president of the American Psychiatric Association responds to an Op-Ed essay, &#8220;Redefining Mental Illness.&#8221;",Opinion,,"Diagnosis: The View of the Psychiatric Association The president of the American Psychiatric Association responds to an Op-Ed essay, &#8220;Redefining Mental Illness.&#8221;  ",Letter
