,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Obama administration officials have created 30 types of tax exemptions in effort to ease filing problems related to Affordable Care Act, and are considering adding more; law's advocates worry that penalties required of uninsured consumers will generate anger and that claiming tax credits used to pay for insurance in 2014 may prove complicated.",2015-02-01,article,White House Seeks to Limit Health Law&#8217;s Tax Troubles,54cd0fc379881063e978c188,National,Obama administration officials say they worry that the tax-filing season will generate new anger as uninsured consumers learn that they must pay tax penalties.,U.S.,Politics,"White House Seeks to Limit Health Law&#8217;s Tax Troubles Obama administration officials say they worry that the tax-filing season will generate new anger as uninsured consumers learn that they must pay tax penalties. Obama administration officials have created 30 types of tax exemptions in effort to ease filing problems related to Affordable Care Act, and are considering adding more; law's advocates worry that penalties required of uninsured consumers will generate anger and that claiming tax credits used to pay for insurance in 2014 may prove complicated.",News
1,"Failure of large-scale National Institutes of Health clinical trial aimed at preventing spread of HIV in Africa has led scientific community to reexamine how such trials should be conducted in poor countries; results show high percentage of women falsely claiming they took medication; main concerns are whether it is ethical to pay clinical trial participants, and whether results are scientifically trustworthy.",2015-02-05,article,A Failed Trial in Africa Raises Questions About How to Test H.I.V. Drugs,54d296787988105ae2aa8999,Foreign,"Scientists are arguing about the extent to which it is ethical to pay participants, and whether results of trials that do so can be trusted.",Health,,"A Failed Trial in Africa Raises Questions About How to Test H.I.V. Drugs Scientists are arguing about the extent to which it is ethical to pay participants, and whether results of trials that do so can be trusted. Failure of large-scale National Institutes of Health clinical trial aimed at preventing spread of HIV in Africa has led scientific community to reexamine how such trials should be conducted in poor countries; results show high percentage of women falsely claiming they took medication; main concerns are whether it is ethical to pay clinical trial participants, and whether results are scientifically trustworthy.",News
2,"Confidential medical records, along with paper documents from number of city agencies, are destroyed in Brooklyn warehouse fire; event reveals continued dependency of New York City's public health system on paper records.",2015-02-03,article,"In Williamsburg Warehouse Fire, Lingering Risks of New York’s Analog Age",54d044f179881045b454132e,Metro,A fire spurred on by cardboard boxes filled with paper revealed the risks the city faces in storing 4.4 million boxes of records in various facilities.,N.Y. / Region,,"In Williamsburg Warehouse Fire, Lingering Risks of New York’s Analog Age A fire spurred on by cardboard boxes filled with paper revealed the risks the city faces in storing 4.4 million boxes of records in various facilities. Confidential medical records, along with paper documents from number of city agencies, are destroyed in Brooklyn warehouse fire; event reveals continued dependency of New York City's public health system on paper records.",News
3,"Pres Obama's new budget proposes to save $399 billion over next decade from Medicare, Medicaid and other programs by Health Dept; many Medicare recipients would have to pay more for care and coverage.",2015-02-03,article,Budget Plan Sees Savings in Changes to Medicare,54cfacf279881002ee7b49c4,National,"President Obama&#8217;s target is a savings of $399 billion over 10 years from Medicare, Medicaid and other Health and Human Services programs.",U.S.,Politics,"Budget Plan Sees Savings in Changes to Medicare President Obama&#8217;s target is a savings of $399 billion over 10 years from Medicare, Medicaid and other Health and Human Services programs. Pres Obama's new budget proposes to save $399 billion over next decade from Medicare, Medicaid and other programs by Health Dept; many Medicare recipients would have to pay more for care and coverage.",News
4,"Number of Ebola cases in West Africa rises for the first time in 2015, worrying health officials.",2015-02-06,article,Small Rise in New Cases Shows Ebola Hanging On,54d41f2f7988104052672841,Foreign,"A weekly increase in new cases, the first this year, was worrisome because some of them were patients who had not been listed for monitoring, health officials said.",World,Africa,"Small Rise in New Cases Shows Ebola Hanging On A weekly increase in new cases, the first this year, was worrisome because some of them were patients who had not been listed for monitoring, health officials said. Number of Ebola cases in West Africa rises for the first time in 2015, worrying health officials.",News
5,"Residents of Monrovia, Liberia, are slowly returning their focus to the business of living after deadliest Ebola outbreak in history; looking back on disease's progress, experts are surprised by how quickly it appears to be extinguishing itself, which they attribute in large part to changes in habits of citizens, like avoiding bodily contact.",2015-02-01,article,"As Ebola Ebbs in Africa, Focus Turns From Death to Life ",54cd761679881063e978c245,Foreign,"New cases in Liberia, where streets were littered with the Ebola dead just a few months ago at the height of the epidemic, now number in the single digits, according to the World Health Organization.",World,Africa,"As Ebola Ebbs in Africa, Focus Turns From Death to Life  New cases in Liberia, where streets were littered with the Ebola dead just a few months ago at the height of the epidemic, now number in the single digits, according to the World Health Organization. Residents of Monrovia, Liberia, are slowly returning their focus to the business of living after deadliest Ebola outbreak in history; looking back on disease's progress, experts are surprised by how quickly it appears to be extinguishing itself, which they attribute in large part to changes in habits of citizens, like avoiding bodily contact.",News
6,"Editorial holds World Health Organization must institute long overdue reforms in wake of its barely sufficient handling of Ebola outbreaks in West Africa; assesses reforms endorsed by organization's executive board; notes it remains to be seen whether reforms will work in practice, and raises long-term issue of organization's financing.",2015-02-10,article,Reform After the Ebola Debacle,54d9c0f07988101cabd80b85,Editorial,"To right its anemic performance, the World Health Organization has endorsed changes to respond more quickly to the next outbreak.",Opinion,,"Reform After the Ebola Debacle To right its anemic performance, the World Health Organization has endorsed changes to respond more quickly to the next outbreak. Editorial holds World Health Organization must institute long overdue reforms in wake of its barely sufficient handling of Ebola outbreaks in West Africa; assesses reforms endorsed by organization's executive board; notes it remains to be seen whether reforms will work in practice, and raises long-term issue of organization's financing.",Editorial
7,,2015-02-06,multimedia,The Weekly Health Quiz,54d3de8d7988104052672751,Health,"In the news: running speed, supplements and depression. Test your knowledge of this week’s health news.",Health,,"The Weekly Health Quiz In the news: running speed, supplements and depression. Test your knowledge of this week’s health news.  ",Interactive Feature
8,"Authorities say that damage to public records incurred in seven-alarm fire at Williamsburg, Brooklyn, warehouse is likely to be less than initially feared.",2015-02-06,article,"Damage to Records in Brooklyn Warehouse Fire Is Less Than Feared, Officials Say",54d3a396798810405267265f,Metro,"The cause of the fire, which was fueled by thousands of boxes of paper, is still under investigation, but fire marshals do not suspect arson, a spokeswoman for the Fire Department said.",N.Y. / Region,,"Damage to Records in Brooklyn Warehouse Fire Is Less Than Feared, Officials Say The cause of the fire, which was fueled by thousands of boxes of paper, is still under investigation, but fire marshals do not suspect arson, a spokeswoman for the Fire Department said. Authorities say that damage to public records incurred in seven-alarm fire at Williamsburg, Brooklyn, warehouse is likely to be less than initially feared.",News
9,,2015-01-31,article,How Bad Data Fed the Ebola Epidemic,54cb686c79881068566a1247,OpEd,Misleading reports about the Ebola outbreak exacerbated the problem.,Opinion,,How Bad Data Fed the Ebola Epidemic Misleading reports about the Ebola outbreak exacerbated the problem.  ,Op-Ed
