,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,,2015-02-27,article,High Rate of Shopping and Switching in Obamacare Plans Is a Good Sign,54ef45c17988105c981b9b8c,Upshot,"The encouraging switching rate, announced by the government, remains a bit of a mystery to experts who study insurance markets.",The Upshot,,"High Rate of Shopping and Switching in Obamacare Plans Is a Good Sign The encouraging switching rate, announced by the government, remains a bit of a mystery to experts who study insurance markets.  ",News
1,,2015-02-17,article,"In Hospitals, Board Rooms Are as Important as Operating Rooms",54e205c17988103eb7f376a2,Upshot,"A hospital’s quality is deeply influenced by its top management. But too often, hospital boards and C.E.O.s are focused on the wrong things.",The Upshot,,"In Hospitals, Board Rooms Are as Important as Operating Rooms A hospital’s quality is deeply influenced by its top management. But too often, hospital boards and C.E.O.s are focused on the wrong things.  ",News
2,"Centers for Disease Control and Prevention study published in The New England Journal of Medicine finds deadly bacterial infection Clostridium difficile is estimated to have afflicted almost half a million Americans and caused 29,000 deaths in 2011.",2015-02-26,article,Death Toll From C. Difficile Is Raised,54ee985f7988105c981b9947,National,"Clostridium difficile is estimated to have afflicted almost half a million Americans and caused 29,000 deaths in 2011, according to a new study.",U.S.,,"Death Toll From C. Difficile Is Raised Clostridium difficile is estimated to have afflicted almost half a million Americans and caused 29,000 deaths in 2011, according to a new study. Centers for Disease Control and Prevention study published in The New England Journal of Medicine finds deadly bacterial infection Clostridium difficile is estimated to have afflicted almost half a million Americans and caused 29,000 deaths in 2011.",Brief
3,"Failure of CoOportunity Health raises questions about the viability of some 23 nonprofit cooperatives created under the Affordable Care Act to generate competition for traditional insurers; organization became a victim of its own success, attracting 120,000 customers in Iowa and Nebraska that brought with them an unexpectedly high level of health costs; CoOportunity customers are now scrambling to find new insurance.",2015-02-17,article,Health Care Success for Midwest Co-op Proves Its Undoing,54e2173b7988103eb7f376d6,National,The insolvency of CoOportunity Health raised the question of whether a major Affordable Care Act experiment in holding down insurance costs was in trouble beyond Iowa and Nebraska.,U.S.,,"Health Care Success for Midwest Co-op Proves Its Undoing The insolvency of CoOportunity Health raised the question of whether a major Affordable Care Act experiment in holding down insurance costs was in trouble beyond Iowa and Nebraska. Failure of CoOportunity Health raises questions about the viability of some 23 nonprofit cooperatives created under the Affordable Care Act to generate competition for traditional insurers; organization became a victim of its own success, attracting 120,000 customers in Iowa and Nebraska that brought with them an unexpectedly high level of health costs; CoOportunity customers are now scrambling to find new insurance.",News
4,"Geisinger Health System names Dr David T Feinberg, president of UCLA Health System, as chief executive.",2015-02-24,article,"Geisinger Health System, Known for Innovations, Names UCLA Health President as Chief",54eb6d3f7988105e43970ab3,Business,"Dr. David T. Feinberg will take over the system, which has nine hospitals and 1,200 physicians, in May.",Business Day,,"Geisinger Health System, Known for Innovations, Names UCLA Health President as Chief Dr. David T. Feinberg will take over the system, which has nine hospitals and 1,200 physicians, in May. Geisinger Health System names Dr David T Feinberg, president of UCLA Health System, as chief executive.",News
5,,2015-02-23,article,The Task After Ebola,54eae45f7988102c57355bfc,Letters,Michael J. Nyenhuis of AmeriCares writes that &#8220;we have a moral obligation&#8221; to build better health systems in struggling African countries.,Opinion,,The Task After Ebola Michael J. Nyenhuis of AmeriCares writes that &#8220;we have a moral obligation&#8221; to build better health systems in struggling African countries.  ,Letter
6,"By paying more attention to the experience of exercise itself, even the most reluctant of exercisers might begin to find pleasure in movement.",2015-02-18,blogpost,"To Jump-Start Your Exercise Routine, Be Mindful",54e46d817988106bb9e5e5da,Science,,Health,,"To Jump-Start Your Exercise Routine, Be Mindful   By paying more attention to the experience of exercise itself, even the most reluctant of exercisers might begin to find pleasure in movement.",Blog
7,"Rachel L Swarns The Working Life column examines plight of Lorraine Guest, nurse and union leader who is scrambling to secure jobs for about 1,400 employees at FEGS Health and Human Services; organization, one of the largest social service agencies in New York City, is closing all of its programs as investigators delve into its serious financial problems.",2015-02-23,article,"As a Social Service Agency Collapses, a Union Leader Worries for Its Workers",54ea09367988107dc6a6e9ca,Metro,"Lorraine Guest, a FEGS Health and Human Services employee for 25 years and the president of District Council 1707, has been fielding anxious queries from her members about new jobs.",N.Y. / Region,,"As a Social Service Agency Collapses, a Union Leader Worries for Its Workers Lorraine Guest, a FEGS Health and Human Services employee for 25 years and the president of District Council 1707, has been fielding anxious queries from her members about new jobs. Rachel L Swarns The Working Life column examines plight of Lorraine Guest, nurse and union leader who is scrambling to secure jobs for about 1,400 employees at FEGS Health and Human Services; organization, one of the largest social service agencies in New York City, is closing all of its programs as investigators delve into its serious financial problems.",News
8,"India's Health Ministry desperately tries to cope with influenza outbreak that has affected thousands and killed 700 since January; World Health Organization has identified strain as H1N1 seasonal flu, descendent of swine flu.",2015-02-20,article,India Deploys Expert Teams to Study Rise in Flu Cases ,54e6947b79881005b6729328,Foreign,"Officials are trying to determine the extent of illness, which has caused 700 deaths since the beginning of the year.",World,Asia Pacific,"India Deploys Expert Teams to Study Rise in Flu Cases  Officials are trying to determine the extent of illness, which has caused 700 deaths since the beginning of the year. India's Health Ministry desperately tries to cope with influenza outbreak that has affected thousands and killed 700 since January; World Health Organization has identified strain as H1N1 seasonal flu, descendent of swine flu.",News
9,"Researchers find that air pollution in India is causing people to lose an average of 3.2 years in life expectancy, at huge cost to country's economy.",2015-02-22,article,"Polluted Air Cuts Years Off Lives of Millions in India, Study Finds",54e8ff377988107dc6a6e847,Foreign,"Altogether, 660 million Indians could lose 2.1 billion years in life expectancy as a result of air pollution, at enormous cost to the country’s economy, researchers found.",World,Asia Pacific,"Polluted Air Cuts Years Off Lives of Millions in India, Study Finds Altogether, 660 million Indians could lose 2.1 billion years in life expectancy as a result of air pollution, at enormous cost to the country’s economy, researchers found. Researchers find that air pollution in India is causing people to lose an average of 3.2 years in life expectancy, at huge cost to country's economy.",News
10,"Metropolitan Diary: The letter grades given by New York City’s Board of Health to restaurants, based on the number of violations, led to this customer’s invention.",2015-02-22,blogpost,Health Dept. Inspires a New Word,54ea78067988102c57355ad6,Metro,,N.Y. / Region,,"Health Dept. Inspires a New Word   Metropolitan Diary: The letter grades given by New York City’s Board of Health to restaurants, based on the number of violations, led to this customer’s invention.",Blog
11,"North American Health Care, California nursing home facing state fines and multiple patient lawsuits, files for bankruptcy protection ahead of millions of dollars in potential payouts; company operates more than 30 facilities.",2015-02-18,article,"Facing Suits, a Nursing Home in California Seeks Bankruptcy",54e3ef8b7988106bb9e5e461,Business,Plaintiffs’ lawyers criticize the move as a maneuver to avoid what could be catastrophic legal verdicts in lawsuits over the quality of care.,Business Day,,"Facing Suits, a Nursing Home in California Seeks Bankruptcy Plaintiffs’ lawyers criticize the move as a maneuver to avoid what could be catastrophic legal verdicts in lawsuits over the quality of care. North American Health Care, California nursing home facing state fines and multiple patient lawsuits, files for bankruptcy protection ahead of millions of dollars in potential payouts; company operates more than 30 facilities.",News
12,,2015-02-24,article,Saudi Arabia: U.N. Experts Criticize Response to MERS Virus as Inadequate,54ebe4cd7988105e43970bf6,Foreign,"Saudi Arabia has not done enough to investigate and control the deadly Middle Eastern Respiratory Syndrome, United Nations health experts said Monday.",World,Middle East,"Saudi Arabia: U.N. Experts Criticize Response to MERS Virus as Inadequate Saudi Arabia has not done enough to investigate and control the deadly Middle Eastern Respiratory Syndrome, United Nations health experts said Monday.  ",Brief
13,Officials from World Health Organization and United Nations’ special envoy for Ebola express concern that anti-Ebola effort faces major budget shortfall and that new cases of disease are on rise.,2015-02-21,article,Leaders of Ebola Fight at U.N. Express Worry About Eradication,54e7e81d798810453b011c10,Foreign,The top two health officials managing the Ebola epidemic cast doubt on a pledge by West African leaders to reduce new cases to zero by mid-April.,World,Africa,Leaders of Ebola Fight at U.N. Express Worry About Eradication The top two health officials managing the Ebola epidemic cast doubt on a pledge by West African leaders to reduce new cases to zero by mid-April. Officials from World Health Organization and United Nations’ special envoy for Ebola express concern that anti-Ebola effort faces major budget shortfall and that new cases of disease are on rise.,News
14,,2015-02-24,multimedia,Getting to Zero Ebola Cases,54ece4ed79881019c721dcf8,World / Africa,"On Saturday, the World Health Organization declared Liberia free of Ebola.",World,Africa,"Getting to Zero Ebola Cases On Saturday, the World Health Organization declared Liberia free of Ebola.  ",Interactive Feature
15,DealBook Online; Johnson & Johnson says it will sell its Cordis business to Cardinal Health for just under $2 billion.,2015-03-03,article,Johnson &amp; Johnson to Sell Cordis Unit for Nearly $2 Billion,54f5285079881059dfb2f915,Dealbook,"The sale to Cardinal Health is the latest divestiture for Johnson & Johnson, which is gradually pruning its portfolio of health care products.",Business Day,DealBook,"Johnson &amp; Johnson to Sell Cordis Unit for Nearly $2 Billion The sale to Cardinal Health is the latest divestiture for Johnson & Johnson, which is gradually pruning its portfolio of health care products. DealBook Online; Johnson & Johnson says it will sell its Cordis business to Cardinal Health for just under $2 billion.",Web Log
16,Liberian Pres Ellen Johnson Sirleaf calls on United States to maintain assistance against continuing Ebola crisis.,2015-02-28,article,Liberia’s President Urges U.S. to Continue Ebola Aid,54f0b51f79881073aef9e8e5,Foreign,"President Ellen Johnson Sirleaf of Liberia praised the American efforts to fight the virus, which have helped to nearly eliminate new cases.",World,Africa,"Liberia’s President Urges U.S. to Continue Ebola Aid President Ellen Johnson Sirleaf of Liberia praised the American efforts to fight the virus, which have helped to nearly eliminate new cases. Liberian Pres Ellen Johnson Sirleaf calls on United States to maintain assistance against continuing Ebola crisis.",News
