,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,,2015-10-20,article,"To Reduce the Cost of Drugs, Look to Europe",5624cb2279881072a18d3b60,Upshot,"A system called reference pricing, used in several other countries, controls costs without harming innovation.",The Upshot,,"To Reduce the Cost of Drugs, Look to Europe A system called reference pricing, used in several other countries, controls costs without harming innovation.  ",News
1,"Editorial reviews recent report by World Health Organization, which found consuming processed and red meat can cause cancer but risk is minimal for most people.",2015-10-28,article,Meat as a Cause of Cancer,56307762798810310043c222,Editorial,"A recent report provides persuasive evidence that eating meat can cause cancer, but the risk is very small for most people.",Opinion,,"Meat as a Cause of Cancer A recent report provides persuasive evidence that eating meat can cause cancer, but the risk is very small for most people. Editorial reviews recent report by World Health Organization, which found consuming processed and red meat can cause cancer but risk is minimal for most people.",Editorial
2,,2015-10-26,multimedia,Meat and Cancer: The W.H.O. Report and What You Need to Know,562e978e79881079d8f744f4,Health,Answers to a few questions about a report that linked colorectal cancer to the consumption of processed meats and red meat.,Health,,Meat and Cancer: The W.H.O. Report and What You Need to Know Answers to a few questions about a report that linked colorectal cancer to the consumption of processed meats and red meat.  ,Interactive Feature
3,"World Health Organization scientists recommend that new polio vaccine planned for release in April 2016 be made without strain used to fight type of virus no longer seen, which was causing paralysis.",2015-10-24,article,W.H.O. Panel Backs Polio Vaccine With Just 2 Strains,562acef679881010ffa5f64d,Foreign,The scientists also recommended that infants as young as 6 months get measles vaccine when the risk of catching it is high.,World,,"W.H.O. Panel Backs Polio Vaccine With Just 2 Strains The scientists also recommended that infants as young as 6 months get measles vaccine when the risk of catching it is high. World Health Organization scientists recommend that new polio vaccine planned for release in April 2016 be made without strain used to fight type of virus no longer seen, which was causing paralysis.",Brief
4,,2015-10-24,article,Egg Donor Payments,562ac28379881010ffa5f637,Letters,"A bioethicist writes that eliminating all guidelines on price caps may promote eugenics, harming us all.",Opinion,,"Egg Donor Payments A bioethicist writes that eliminating all guidelines on price caps may promote eugenics, harming us all.  ",Letter
5,,2015-10-21,article,"Collective Health, Insurance Services Start-Up Focused on Employers, Raises $81 Million",56269e997988105034cd95e8,Business,"Collective Health, which provides tools to help companies with their employer-provided insurance, has now raised a total of $119 million from investors like Google Ventures..",Business Day,DealBook,"Collective Health, Insurance Services Start-Up Focused on Employers, Raises $81 Million Collective Health, which provides tools to help companies with their employer-provided insurance, has now raised a total of $119 million from investors like Google Ventures..  ",News
6,"National Institutes of Health plans to overhaul its approach to heart research, investing in smaller number of trials aimed at deeper, more meaningful results; approach is high-risk but carries potential to effect real-world change  (Series: Mending Hearts).",2015-10-20,article,"A New, Life-or-Death Approach to Funding Heart Research",5620caa87988106fc781e43c,Science,"The result will be the financing of fewer, but deeper, studies, to focus resources on efforts with real-world effects and life-or-death implications.",Health,,"A New, Life-or-Death Approach to Funding Heart Research The result will be the financing of fewer, but deeper, studies, to focus resources on efforts with real-world effects and life-or-death implications. National Institutes of Health plans to overhaul its approach to heart research, investing in smaller number of trials aimed at deeper, more meaningful results; approach is high-risk but carries potential to effect real-world change  (Series: Mending Hearts).",News
7,Rising health care premiums on HealthCare.gov are likely to force many consumers to shop around for new plans; officials insist buyers will still have access to choice of affordable plans.,2015-10-31,article,"Many Need to Shop Around on HealthCare.gov as Prices Jump, U.S. Says",563413a779881058ec3b641f,National,Federal officials said people would need to pick new plans under the Affordable Care Act to avoid substantial increases in health insurance premiums.,U.S.,Politics,"Many Need to Shop Around on HealthCare.gov as Prices Jump, U.S. Says Federal officials said people would need to pick new plans under the Affordable Care Act to avoid substantial increases in health insurance premiums. Rising health care premiums on HealthCare.gov are likely to force many consumers to shop around for new plans; officials insist buyers will still have access to choice of affordable plans.",News
8,Consumers begin using remodeled version of HeathCare.gov to shop for health insurance; website now features cost calculator and searches are listed in price order; consumers can begin purchasing plans on Nov 1.,2015-10-27,article,Revamped HealthCare.Gov Opens With New Tools for Gauging True Cost of Insurance,562ecfcc79881079d8f7458e,National,Consumers on Monday began shopping online for health insurance through the Affordable Care Act on a newly remodeled version of HealthCare.gov that worked more or less as promised by the government.,U.S.,Politics,Revamped HealthCare.Gov Opens With New Tools for Gauging True Cost of Insurance Consumers on Monday began shopping online for health insurance through the Affordable Care Act on a newly remodeled version of HealthCare.gov that worked more or less as promised by the government. Consumers begin using remodeled version of HeathCare.gov to shop for health insurance; website now features cost calculator and searches are listed in price order; consumers can begin purchasing plans on Nov 1.,News
9,"World Health Organization panel concludes eating processed and red meat presents cancer risk which, while significantly lower than smoking or drinking alcohol, supports calls for reduced consumption. ",2015-10-27,article,"Meat Is Linked to Higher Cancer Risk, W.H.O. Report Finds",562e3133798810562db13a44,Foreign,A panel of experts convened by the World Health Organization also said the increase in risk is so slight that most people should not be overly worried.,Health,,"Meat Is Linked to Higher Cancer Risk, W.H.O. Report Finds A panel of experts convened by the World Health Organization also said the increase in risk is so slight that most people should not be overly worried. World Health Organization panel concludes eating processed and red meat presents cancer risk which, while significantly lower than smoking or drinking alcohol, supports calls for reduced consumption. ",News
10,,2015-10-17,article,Texas: No Quick Ruling in Quest for Birth Certificates,5621913c7988102bbe7205e0,National,A federal judge in Austin denied an emergency injunction on behalf of immigrant families who were denied birth certificates for United States-born children.,U.S.,,Texas: No Quick Ruling in Quest for Birth Certificates A federal judge in Austin denied an emergency injunction on behalf of immigrant families who were denied birth certificates for United States-born children.  ,Brief
11,,2015-10-30,article,A Most British Response to the W.H.O. Study on Processed Meats,56329b8e798810201af95abf,Foreign,"In the home of the full English breakfast, health warnings seem only to inspire irreverence and potential denial in scofflaws.",World,Europe,"A Most British Response to the W.H.O. Study on Processed Meats In the home of the full English breakfast, health warnings seem only to inspire irreverence and potential denial in scofflaws.  ",News
