,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Teaching Health Center Graduate Medical Education, program under the Affordable Care Act that trains doctors in underserved communities, faces uncertain future amid Congressional debate; communities nationwide, like Harlem in New York City, could soon be deprived of hundreds of primary care physicians.",2015-03-26,article,"Amid Affordable Care Act Fight, a Health Center Program Struggles to Stay Alive",55134cf97988100259072370,Metro,The future is uncertain for a program that trains doctors in underserved communities as it tries to tackle a worsening shortage of primary care physicians.,N.Y. / Region,,"Amid Affordable Care Act Fight, a Health Center Program Struggles to Stay Alive The future is uncertain for a program that trains doctors in underserved communities as it tries to tackle a worsening shortage of primary care physicians. Teaching Health Center Graduate Medical Education, program under the Affordable Care Act that trains doctors in underserved communities, faces uncertain future amid Congressional debate; communities nationwide, like Harlem in New York City, could soon be deprived of hundreds of primary care physicians.",News
1,"Supporters of impending medical marijuana program in New York State worry that measure is so strict that it will prevent many deserving patients from receiving the drug; Health Dept restrictions include only 10 qualifying conditions, would prevent smoking of the drug, and would limit consumption to only 5 medical brands.",2015-03-30,article,New York State’s Medical Marijuana Rules Shaping Up as Unusually Restrictive,5518958f798810292a272284,Metro,"With the state close to issuing final regulations, supporters of the new program are concerned that some of its constraints will harm its effectiveness.",N.Y. / Region,,"New York State’s Medical Marijuana Rules Shaping Up as Unusually Restrictive With the state close to issuing final regulations, supporters of the new program are concerned that some of its constraints will harm its effectiveness. Supporters of impending medical marijuana program in New York State worry that measure is so strict that it will prevent many deserving patients from receiving the drug; Health Dept restrictions include only 10 qualifying conditions, would prevent smoking of the drug, and would limit consumption to only 5 medical brands.",News
2,,2015-03-19,article,Ebola Cases Increase in Guinea,550a28ae79881059ef17df93,Foreign,"The World Health Organization said Wednesday that 95 new cases of Ebola had been confirmed in Guinea in the week that ended last Sunday, the highest weekly total for that country so far this year.",World,Africa,"Ebola Cases Increase in Guinea The World Health Organization said Wednesday that 95 new cases of Ebola had been confirmed in Guinea in the week that ended last Sunday, the highest weekly total for that country so far this year.  ",Brief
3,,2015-03-26,article,Health Agency Reports Lowest Weekly Total of New Ebola Cases,551387617988100259072413,Foreign,The World Health Organization on Wednesday reported the lowest weekly total of new Ebola cases so far this year in the three nations of West Africa that have been afflicted by the deadly virus.,World,Africa,Health Agency Reports Lowest Weekly Total of New Ebola Cases The World Health Organization on Wednesday reported the lowest weekly total of new Ebola cases so far this year in the three nations of West Africa that have been afflicted by the deadly virus.  ,Brief
4,"Gadgetwise column highlights project undertaken by photographer Vincent Laforet, in which he has taken aerial photos of cities in dark without flash, in order to illustrate stunning technological advances digital photography has made.",2015-03-19,article,"Capturing the Night in Digital Photos, Spectacularly",5509f53b79881059ef17df16,Business,A photographer shows how improvements in camera sensors and software and in postproduction software have made it possible to take excellent photos at night.,Technology,Personal Tech,"Capturing the Night in Digital Photos, Spectacularly A photographer shows how improvements in camera sensors and software and in postproduction software have made it possible to take excellent photos at night. Gadgetwise column highlights project undertaken by photographer Vincent Laforet, in which he has taken aerial photos of cities in dark without flash, in order to illustrate stunning technological advances digital photography has made.",News
5,"World Health Organization's International Agency for Research on Cancers says glyphosate, active ingredient in Roundup herbicide, is probably carcinogenic to humans; Monsanto, which manufactures herbicide, disputes findings.",2015-03-21,article,W.H.O. Report Links Ingredient in Roundup to Cancer ,550cb5947988103e9f1ec8c9,Business,"The conclusion, by the group&#8217;s International Agency for Research on Cancer, was vigorously disputed by the herbicide&#8217;s maker, Monsanto.",Business Day,,"W.H.O. Report Links Ingredient in Roundup to Cancer  The conclusion, by the group&#8217;s International Agency for Research on Cancer, was vigorously disputed by the herbicide&#8217;s maker, Monsanto. World Health Organization's International Agency for Research on Cancers says glyphosate, active ingredient in Roundup herbicide, is probably carcinogenic to humans; Monsanto, which manufactures herbicide, disputes findings.",News
6,"Interview with Dr Harold Varmus, who is departing post as head of the National Cancer Institute; Varmus discusses effect of declining research funding on fight against cancer.",2015-03-31,article,The Condition Cancer Research Is In,551986c079881050618c6a62,Science,"Dr. Harold Varmus, the departing director of the National Cancer Institute, addresses funding challenges and the state of the fight against the disease.",Science,,"The Condition Cancer Research Is In Dr. Harold Varmus, the departing director of the National Cancer Institute, addresses funding challenges and the state of the fight against the disease. Interview with Dr Harold Varmus, who is departing post as head of the National Cancer Institute; Varmus discusses effect of declining research funding on fight against cancer.",News
7,"Governments and relief organizations around world take of stock of mistakes made in responding to Ebola outbreak in Liberia, Sierra Leone and Guinea; lessons learned may help limit future epidemics.",2015-03-23,article,"One Year Later, Ebola Outbreak Offers Lessons for Next Epidemic",550f6ab37988100240a7418b,Foreign,"While the disease has not been eliminated, aid groups take stock of what worked and didn&#8217;t, and continue to point fingers.",World,,"One Year Later, Ebola Outbreak Offers Lessons for Next Epidemic While the disease has not been eliminated, aid groups take stock of what worked and didn&#8217;t, and continue to point fingers. Governments and relief organizations around world take of stock of mistakes made in responding to Ebola outbreak in Liberia, Sierra Leone and Guinea; lessons learned may help limit future epidemics.",News
8,Test your knowledge of this week’s health news.,2015-03-27,blogpost,"The Weekly Health Quiz: Upbeat Emotions, Male Nurses and Whiter Teeth",5515238d79881034ed52c9c8,Science,,false,false,"The Weekly Health Quiz: Upbeat Emotions, Male Nurses and Whiter Teeth   Test your knowledge of this week’s health news.",Blog
9,"Turkish politician Mehmet Ali Ediboglu tells British newspaper The Observer that he believes six medical students and three recent graduates, all Britons, have secretly traveled to Syria to work in region under Islamic State control.",2015-03-23,article,Medical Students From Britain Are Sought in Syria,550f3c5d7988100240a7412c,Foreign,A Turkish politician who met with the families told The Observer that he believed the six students and three recent graduates were in a Syrian town under ISIS control.,World,Europe,"Medical Students From Britain Are Sought in Syria A Turkish politician who met with the families told The Observer that he believed the six students and three recent graduates were in a Syrian town under ISIS control. Turkish politician Mehmet Ali Ediboglu tells British newspaper The Observer that he believes six medical students and three recent graduates, all Britons, have secretly traveled to Syria to work in region under Islamic State control.",News
