,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Obama administration says Social Security recipients will not receive cost-of-living increase in 2016, and warns that as a result about 30 percent of Medicare beneficiaries may experience record increase in premiums unless Congress acts to shield them from increase.",2015-10-16,article,No Social Security Raises Even if Medicare Soars,561faa8e798810299d3882b0,National,"Unless Congress acts, some beneficiaries will face premium increases of about 50 percent, the largest rise, by far, in the history of Medicare.",U.S.,Politics,"No Social Security Raises Even if Medicare Soars Unless Congress acts, some beneficiaries will face premium increases of about 50 percent, the largest rise, by far, in the history of Medicare. Obama administration says Social Security recipients will not receive cost-of-living increase in 2016, and warns that as a result about 30 percent of Medicare beneficiaries may experience record increase in premiums unless Congress acts to shield them from increase.",News
1,"The World Health Organization issued strict guidelines for naming infections. For example, names of groups (Legionnaire’s) and places (Ebola) are out.",2015-10-12,blogpost,Fighting New Diseases by Giving Them Blander Labels,561c2bb1798810413432c8ba,Science,,Health,,"Fighting New Diseases by Giving Them Blander Labels   The World Health Organization issued strict guidelines for naming infections. For example, names of groups (Legionnaire’s) and places (Ebola) are out.",Blog
2,World Health Organization reports West Africa had first week of no known Ebola cases since March 2014; warns epidemic is not totally defeated as several hundred people Guinea still need to clear 21-day incubation period.,2015-10-08,article,"No New Ebola Cases Were Reported in the Past Week, Health Agency Says",5615b768798810667f8e3db7,Foreign,The World Health Organization has warned that Ebola could still come back because more than 500 people in Guinea who may have been exposed are still being monitored.,World,Africa,"No New Ebola Cases Were Reported in the Past Week, Health Agency Says The World Health Organization has warned that Ebola could still come back because more than 500 people in Guinea who may have been exposed are still being monitored. World Health Organization reports West Africa had first week of no known Ebola cases since March 2014; warns epidemic is not totally defeated as several hundred people Guinea still need to clear 21-day incubation period.",Brief
3,Leon Lubarsky and Rada Tarnovsky of Letter Grade Consulting are among growing number of professionals who advise New York City restaurants on how to get A grade on sanitary inspections carried out by Health and Mental Hygiene Dept.,2015-10-05,article,Restaurants Follow Consultants’ Advice to the Letter for an A Grade,5611cac679881065968795c1,Metro,"Consultants, some of whom are former city inspectors, charge monthly fees to coach restaurants on how to earn the highest grade from the city’s health department during inspections.",N.Y. / Region,,"Restaurants Follow Consultants’ Advice to the Letter for an A Grade Consultants, some of whom are former city inspectors, charge monthly fees to coach restaurants on how to earn the highest grade from the city’s health department during inspections. Leon Lubarsky and Rada Tarnovsky of Letter Grade Consulting are among growing number of professionals who advise New York City restaurants on how to get A grade on sanitary inspections carried out by Health and Mental Hygiene Dept.",News
4,"New York City's street vendors have organized, under Street Vendor Project umbrella, to demand that city raise 5,100-permit cap on Mobile Food Vending permits; movement seizes on opportunity opened by by rising profile of street food and Mayor Bill de Blasio's commitment to reduce income inequality.",2015-10-04,article,Fighting for the Right to Sell a Smoothie on New York Streets,560ee83e7988102790c6762f,Metro,"New York City issues 5,100 permits for people to sell food on its streets, a number unchanged for decades, but there are an estimated 10,000 sellers.",N.Y. / Region,,"Fighting for the Right to Sell a Smoothie on New York Streets New York City issues 5,100 permits for people to sell food on its streets, a number unchanged for decades, but there are an estimated 10,000 sellers. New York City's street vendors have organized, under Street Vendor Project umbrella, to demand that city raise 5,100-permit cap on Mobile Food Vending permits; movement seizes on opportunity opened by by rising profile of street food and Mayor Bill de Blasio's commitment to reduce income inequality.",News
5,"New York City officials announce water-cooling towers in Bronx recently found to be contaminated with Legionnaires' disease had been disinfected less than two months ago; specialists say return of bacteria is not unexpected in warm weather, and cleaning is only a short-term solution for a complex problem.",2015-10-02,article,Legionnaires’ Bacteria Regrew in Bronx Cooling Towers That Were Disinfected,560dddfa79881079f8b36a0e,Metro,The discovery this week of Legionella bacteria in 15 water-cooling towers raises questions about how successful the city can be in containing the disease.,N.Y. / Region,,"Legionnaires’ Bacteria Regrew in Bronx Cooling Towers That Were Disinfected The discovery this week of Legionella bacteria in 15 water-cooling towers raises questions about how successful the city can be in containing the disease. New York City officials announce water-cooling towers in Bronx recently found to be contaminated with Legionnaires' disease had been disinfected less than two months ago; specialists say return of bacteria is not unexpected in warm weather, and cleaning is only a short-term solution for a complex problem.",News
6,Test your knowledge of this week’s health news.,2015-10-16,blogpost,"The Weekly Health Quiz: Supplements, Running and Back Pain",5620d9ca7988106fc781e47d,Science,,Health,,"The Weekly Health Quiz: Supplements, Running and Back Pain   Test your knowledge of this week’s health news.",Blog
7,Letter from Connecticut Rep Joe Courtney responds to October 2  Ezekiel J Emanuel and Bob Kocher Op-Ed column supporting so-called Cadillac tax provision of Affordable Care Act.,2015-10-14,article,End ‘Cadillac’ Health Tax,561e026579881071864ee425,Letters,Representative Joe Courtney writes that the tax “damages the progress we have made since the Affordable Care Act was signed into law.”,Opinion,,End ‘Cadillac’ Health Tax Representative Joe Courtney writes that the tax “damages the progress we have made since the Affordable Care Act was signed into law.” Letter from Connecticut Rep Joe Courtney responds to October 2  Ezekiel J Emanuel and Bob Kocher Op-Ed column supporting so-called Cadillac tax provision of Affordable Care Act.,Letter
8,Test your knowledge of this week’s health news.,2015-10-09,blogpost,"The Weekly Health Quiz: Frozen Foods, Tea and Runner&rsquo;s High",5617974a7988101e0a633f03,Science,,Health,,"The Weekly Health Quiz: Frozen Foods, Tea and Runner&rsquo;s High   Test your knowledge of this week’s health news.",Blog
9,"Editorial assesses presidential candidates' plans for reforming nation's health care system; notes Democratic candidates Hillary Rodham Clinton and Sen Bernie Sanders have detailed plans that stake out drastically different positions; observes Republican candidates all wish to repeal Affordable Care Act, but have offered no alternative.",2015-10-03,article,The Candidates on Health Care   ,560f2f7e7988102790c67710,Editorial,"While Republicans are busy railing against Obamacare, the top two Democrats offer radically different ideas on how to improve health care.",Opinion,,"The Candidates on Health Care    While Republicans are busy railing against Obamacare, the top two Democrats offer radically different ideas on how to improve health care. Editorial assesses presidential candidates' plans for reforming nation's health care system; notes Democratic candidates Hillary Rodham Clinton and Sen Bernie Sanders have detailed plans that stake out drastically different positions; observes Republican candidates all wish to repeal Affordable Care Act, but have offered no alternative.",Editorial
