,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Michael Bach, who suffers from neurological disorder known as essential tremors and once quit photography career due to mental breakdown, has returned to photography, turning camera on himself.",2015-06-28,article,Michael Bach’s Preservation Through Photography,558d30ba7988104b6ef0586a,Magazine,Finding relief in front of the lens.,Magazine,,"Michael Bach’s Preservation Through Photography Finding relief in front of the lens. Michael Bach, who suffers from neurological disorder known as essential tremors and once quit photography career due to mental breakdown, has returned to photography, turning camera on himself.",News
1,Junot Diaz describes being deeply affected by being beaten up by other kids while in junior high and years it took for him to recover from fear incident instilled in him.,2015-06-28,article,The Terror,558bdf3979881022f9788915,Magazine,It took years to get over a middle-school beat-down.,Magazine,,The Terror It took years to get over a middle-school beat-down. Junot Diaz describes being deeply affected by being beaten up by other kids while in junior high and years it took for him to recover from fear incident instilled in him.,News
2,Elizabeth Gilbert describes lifelong compulsion for seducing men.,2015-06-28,article,Confessions of a Seduction Addict,558a8dba7988107b193e2c0f,Magazine,A compulsion to coerce men into relationships becomes self-destructive.,Magazine,,Confessions of a Seduction Addict A compulsion to coerce men into relationships becomes self-destructive. Elizabeth Gilbert describes lifelong compulsion for seducing men.,News
3,"Mindy Thompson Fullilove, research scientist at New York State Psychiatric Institute, has spent 30 years exploring how physical disconnection between different parts of a city harms public health and researching ways to connect them; Fullilove has spearheaded Giraffe Path project, based on her research, which is responsible for reopening of New York City's High Bridge, connecting Bronx and Manhattan, to pedestrians.",2015-06-28,article,The Town Shrink,55893c387988105da13a2ce7,Magazine,"Trained as a psychiatrist, Mindy Thompson Fullilove now puts entire cities on the couch.",Magazine,,"The Town Shrink Trained as a psychiatrist, Mindy Thompson Fullilove now puts entire cities on the couch. Mindy Thompson Fullilove, research scientist at New York State Psychiatric Institute, has spent 30 years exploring how physical disconnection between different parts of a city harms public health and researching ways to connect them; Fullilove has spearheaded Giraffe Path project, based on her research, which is responsible for reopening of New York City's High Bridge, connecting Bronx and Manhattan, to pedestrians.",News
4,Liberia's deputy health minister reports that body of unidentified teenager tests positive for Ebola; announcement comes after weeks after World Health Organization declared Liberia Ebola-free.,2015-06-30,article,Liberia: New Ebola Death Is Reported,559208cb798810525124d2ab,Foreign,The country’s deputy health minister said the body of a 17-year-old man had tested positive for the disease.,World,Africa,Liberia: New Ebola Death Is Reported The country’s deputy health minister said the body of a 17-year-old man had tested positive for the disease. Liberia's deputy health minister reports that body of unidentified teenager tests positive for Ebola; announcement comes after weeks after World Health Organization declared Liberia Ebola-free.,Brief
5,,2015-07-03,article,Supreme Court Ruling on Health Care Bolsters Deal-Making,5595a7737988105cd0859c3f,Business,The Supreme Court’s decision last week to uphold President Obama’s landmark reform signals the official start of a race to consolidate.,Business Day,DealBook,Supreme Court Ruling on Health Care Bolsters Deal-Making The Supreme Court’s decision last week to uphold President Obama’s landmark reform signals the official start of a race to consolidate.  ,News
6,"World Health Organization posts report on its website finding that almost 200 people had been in contact with teen who died of Ebola in late June 2015 in Liberia, first confirmed case since country was declared Ebola-free in early May.",2015-07-04,article,Liberia: 200 Reportedly Had Contact With Ebola Victim,559721067988100b789e6791,Foreign,The World Health Organization reported Friday that nearly 200 people had been in contact with a 17-year-old in Liberia who was confirmed to have died of Ebola.,World,Africa,"Liberia: 200 Reportedly Had Contact With Ebola Victim The World Health Organization reported Friday that nearly 200 people had been in contact with a 17-year-old in Liberia who was confirmed to have died of Ebola. World Health Organization posts report on its website finding that almost 200 people had been in contact with teen who died of Ebola in late June 2015 in Liberia, first confirmed case since country was declared Ebola-free in early May.",Brief
7,,2015-06-26,article,Money for Cancer Trials,558d5e397988104b6ef058f5,Letters,The American Society of Clinical Oncology writes that Congress needs to increase funding for the National Institutes of Health.,Opinion,,Money for Cancer Trials The American Society of Clinical Oncology writes that Congress needs to increase funding for the National Institutes of Health.  ,Letter
8,"Study published online in Health Affairs finds that passage of Affordable Care Act has resulted in women spending far less out-of-pocket for most birth control methods; estimates cost savings from birth control pill alone, most popular form of birth control, was around $1.4 billion in 2013.",2015-07-08,article,"After Health Care Act, Sharp Drop in Spending on Birth Control",559c307b7988100c02d0f70c,National,A new analysis found out-of-pocket spending on the pill dropped by about half in the first six months of 2013 compared with a year earlier.,Health,,"After Health Care Act, Sharp Drop in Spending on Birth Control A new analysis found out-of-pocket spending on the pill dropped by about half in the first six months of 2013 compared with a year earlier. Study published online in Health Affairs finds that passage of Affordable Care Act has resulted in women spending far less out-of-pocket for most birth control methods; estimates cost savings from birth control pill alone, most popular form of birth control, was around $1.4 billion in 2013.",News
9,Two new Ebola cases are discovered in Libera less than two months after World Health Organization declared country to be free of virus.,2015-07-01,article,New Cases of Ebola Put an End to Liberia’s Status as Virus-Free,55929edb798810525124d432,Foreign,"The body of a teenager tested positive for the virus, ending Liberia’s Ebola-free status, said the deputy minister for health, and raising fresh concerns.",World,Africa,"New Cases of Ebola Put an End to Liberia’s Status as Virus-Free The body of a teenager tested positive for the virus, ending Liberia’s Ebola-free status, said the deputy minister for health, and raising fresh concerns. Two new Ebola cases are discovered in Libera less than two months after World Health Organization declared country to be free of virus.",News
