,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,Italian nurse who had been working with aid group Emergency in Sierra Leone tests positive for Ebola virus upon his return to Italy and is hospitalized in an infectious diseases hospital in Rome.,2015-05-14,article,Italian Nurse Who Worked in Sierra Leone Tests Positive for Ebola,555385fd7988105254c49936,Foreign,"The nurse, who was admitted to an infectious disease hospital in Rome, returned home last week after working in Sierra Leone.",World,Europe,"Italian Nurse Who Worked in Sierra Leone Tests Positive for Ebola The nurse, who was admitted to an infectious disease hospital in Rome, returned home last week after working in Sierra Leone. Italian nurse who had been working with aid group Emergency in Sierra Leone tests positive for Ebola virus upon his return to Italy and is hospitalized in an infectious diseases hospital in Rome.",News
1,Report by Comptroller Scott M Stringer warns that New York City's public hospital system will face deficit of more than $1 billion by 2017 should federal cuts take place as scheduled; government plans to cut subsidies to public hospitals based on theory that millions of people who are newly insured under Affordable Care Act will exert less pressure on system.,2015-05-11,article,"Federal Cuts Would Be Major Blow to New York City’s Public Hospitals, Comptroller Says",554fff2d798810521187ab0d,Metro,"A report by Scott M. Stringer says the 11-hospital system expects to face a deficit of more than $1 billion in fiscal year 2017, which will grow in subsequent years.",N.Y. / Region,,"Federal Cuts Would Be Major Blow to New York City’s Public Hospitals, Comptroller Says A report by Scott M. Stringer says the 11-hospital system expects to face a deficit of more than $1 billion in fiscal year 2017, which will grow in subsequent years. Report by Comptroller Scott M Stringer warns that New York City's public hospital system will face deficit of more than $1 billion by 2017 should federal cuts take place as scheduled; government plans to cut subsidies to public hospitals based on theory that millions of people who are newly insured under Affordable Care Act will exert less pressure on system.",News
2,"World Health Organization declares Liberia free of Ebola, making country first of three most ravaged by disease to bring formal end to epidemic; organization cautions that it is still very concerned about Guinea and Sierra Leone.",2015-05-10,article,"Liberia Is Declared Free of Ebola, but Officials Sound Note of Caution",554dde0979881019e622532b,Foreign,"The announcement Saturday made Liberia the first of the hardest-hit West African countries, including Guinea and Sierra Leone, to bring a formal end to the epidemic.",World,Africa,"Liberia Is Declared Free of Ebola, but Officials Sound Note of Caution The announcement Saturday made Liberia the first of the hardest-hit West African countries, including Guinea and Sierra Leone, to bring a formal end to the epidemic. World Health Organization declares Liberia free of Ebola, making country first of three most ravaged by disease to bring formal end to epidemic; organization cautions that it is still very concerned about Guinea and Sierra Leone.",News
3,"World Health Organization official Dr Margaret Chan, at meeting of World Health Assembly in Geneva, proposes measures to overhaul organization's emergency response system to better address crises like Africa's Ebola epidemic.",2015-05-19,article,W.H.O. Leader Outlines Changes in Response to Ebola Epidemic,555a27337988100f2a238b59,Foreign,"The World Health Organization must act to ensure it will not be caught flat-footed by future crises, Dr. Margaret Chan said at the start of a 10-day meeting.",World,Africa,"W.H.O. Leader Outlines Changes in Response to Ebola Epidemic The World Health Organization must act to ensure it will not be caught flat-footed by future crises, Dr. Margaret Chan said at the start of a 10-day meeting. World Health Organization official Dr Margaret Chan, at meeting of World Health Assembly in Geneva, proposes measures to overhaul organization's emergency response system to better address crises like Africa's Ebola epidemic.",News
4,"World Health Organization includes five new hepatitis C drugs on essential medicines list for first time, indication to government, regulators and companies that pricey drugs should be made available at lower prices in poorer countries.",2015-05-09,article,Hepatitis C Drugs Added to W.H.O. List of Essential Medicines,554cedee79881019e6225120,Science,Inclusion on the list indicates to governments and drug companies that those medicines should be made available to poor countries at low prices.,Health,,"Hepatitis C Drugs Added to W.H.O. List of Essential Medicines Inclusion on the list indicates to governments and drug companies that those medicines should be made available to poor countries at low prices. World Health Organization includes five new hepatitis C drugs on essential medicines list for first time, indication to government, regulators and companies that pricey drugs should be made available at lower prices in poorer countries.",News
5,"Op-Ed article by oncologist and policy expert Ezekiel J Emanuel argues expanded insurance coverage under the Affordable Care Act is only the first step toward curbing billions of dollars in excessive emergency room visits; observes remarkable achievements of program in Seattle that lowered emergency room use among high-risk group by 27 percent through education, incentives and increased co-pay.",2015-05-06,article,How to Solve the E.R. Problem ,5549c0e679881010f87baecd,Editorial,Expanding insurance coverage is only the first step.,Opinion,,"How to Solve the E.R. Problem  Expanding insurance coverage is only the first step. Op-Ed article by oncologist and policy expert Ezekiel J Emanuel argues expanded insurance coverage under the Affordable Care Act is only the first step toward curbing billions of dollars in excessive emergency room visits; observes remarkable achievements of program in Seattle that lowered emergency room use among high-risk group by 27 percent through education, incentives and increased co-pay.",Op-Ed
6,United Nations preliminary report finds that World Health Organization's response to 2014 Ebola outbreak was inadequate and recommends overhaul of WHO finances and new structure capable of better emergency response.,2015-05-12,article,"W.H.O. Needs Reforms in Wake of Ebola Crisis, Report Says",5551659779881071e8006663,Foreign,A panel of experts said that the World Health Organization requires a radical change of culture to cope with future emergencies.,World,Europe,"W.H.O. Needs Reforms in Wake of Ebola Crisis, Report Says A panel of experts said that the World Health Organization requires a radical change of culture to cope with future emergencies. United Nations preliminary report finds that World Health Organization's response to 2014 Ebola outbreak was inadequate and recommends overhaul of WHO finances and new structure capable of better emergency response.",News
7,"Editorial welcomes New York Gov Andrew Cuomo's state initiative to protect wage and health abuses of foreign workers in nail salons but cautions he must go further for long-lasting results; suggests enrolling help of federal agencies like OSHA and Homeland Security Dept, as well as workers' organizations, to ensure workers have an ongoing support system.",2015-05-12,article,Justice for Nail Salon Workers,555129ed79881071e80065ec,Editorial,Cultivating justice in the world of low-wage immigrant labor is going to take serious effort at all levels of government.,Opinion,,"Justice for Nail Salon Workers Cultivating justice in the world of low-wage immigrant labor is going to take serious effort at all levels of government. Editorial welcomes New York Gov Andrew Cuomo's state initiative to protect wage and health abuses of foreign workers in nail salons but cautions he must go further for long-lasting results; suggests enrolling help of federal agencies like OSHA and Homeland Security Dept, as well as workers' organizations, to ensure workers have an ongoing support system.",Editorial
8,Test your knowledge of this week’s health news.,2015-05-22,blogpost,"The Weekly Health Quiz: Probiotics, Belly Fat and Pot Edibles",555f2c7179881021e1fa054a,Science,,false,false,"The Weekly Health Quiz: Probiotics, Belly Fat and Pot Edibles   Test your knowledge of this week’s health news.",Blog
9,"World Health Organization reports nearly fourfold increase of new Ebola cases in Guinea and Sierra Leone in latest week of reporting, to about 35; say some risky practices like unsafe burials of Ebola victims contributes to rise.",2015-05-20,article,Doctors Link Risky Burials to Ebola Rise in West Africa,555b90a37988103b80bc22f0,Foreign,"Officials at the World Health Organization said that there had been a nearly fourfold increase during the most recent week of reporting, to about 35 new cases.",World,Africa,"Doctors Link Risky Burials to Ebola Rise in West Africa Officials at the World Health Organization said that there had been a nearly fourfold increase during the most recent week of reporting, to about 35 new cases. World Health Organization reports nearly fourfold increase of new Ebola cases in Guinea and Sierra Leone in latest week of reporting, to about 35; say some risky practices like unsafe burials of Ebola victims contributes to rise.",News
10,Test your knowledge of this week’s health news.,2015-05-08,blogpost,"The Weekly Health Quiz: Golf, Memory and Food Cravings",554ccc877988106d7dc2001f,Science,,false,false,"The Weekly Health Quiz: Golf, Memory and Food Cravings   Test your knowledge of this week’s health news.",Blog
