,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"A van brings remote Tanzanian villages movies at night, followed in the morning by up-to-date diagnostic tests.",2015-04-03,blogpost,Fighting TB with a Drive-in Film and Test,551e732179881008e3994ebf,OpEd,,Opinion,,"Fighting TB with a Drive-in Film and Test   A van brings remote Tanzanian villages movies at night, followed in the morning by up-to-date diagnostic tests.",Blog
1,"Pres Obama calls for rebuilding of decimated health systems in Liberia, Guinea and Sierra Leone and continued global response there following easing of Ebola crisis.",2015-04-16,article,"As Ebola Retreats, Obama Urges Vigilance and Preparation in West Africa",552ec6217988107a4d3c3da3,Foreign,"During a visit to Washington by the leaders of Guinea, Liberia and Sierra Leone, President Obama said the global response must continue.",World,Africa,"As Ebola Retreats, Obama Urges Vigilance and Preparation in West Africa During a visit to Washington by the leaders of Guinea, Liberia and Sierra Leone, President Obama said the global response must continue. Pres Obama calls for rebuilding of decimated health systems in Liberia, Guinea and Sierra Leone and continued global response there following easing of Ebola crisis.",News
2,"Inquiry by international health officials and interviews with staff reveal pattern of safety lapses at Ebola treatment center run by Boston-based charity Partners in Health in Port Loko, Sierra Leone.",2015-04-13,article,Pattern of Safety Lapses Where Group Worked to Battle Ebola Outbreak,552b1507798810756aa8f730,Foreign,"Safety deficiencies at a treatment center staffed by Partners in Health, a charity that pledged to fight Ebola in Sierra Leone and Liberia, led to the closure of the center after two clinicians were diagnosed with Ebola.",World,Africa,"Pattern of Safety Lapses Where Group Worked to Battle Ebola Outbreak Safety deficiencies at a treatment center staffed by Partners in Health, a charity that pledged to fight Ebola in Sierra Leone and Liberia, led to the closure of the center after two clinicians were diagnosed with Ebola. Inquiry by international health officials and interviews with staff reveal pattern of safety lapses at Ebola treatment center run by Boston-based charity Partners in Health in Port Loko, Sierra Leone.",News
3,,2015-04-10,article,Access to Medical Records,552779e57988100ca6d451d1,Letters,Lynne Thomas Gordon of the American Health Information Management Association writes that &#8220;patients have a right to request a copy of their health records&#8221; from their doctors.,Opinion,,Access to Medical Records Lynne Thomas Gordon of the American Health Information Management Association writes that &#8220;patients have a right to request a copy of their health records&#8221; from their doctors.  ,Letter
4,Editorial warns that developers of health information technology and some medical centers are blocking transfer of electronic medical records in greed-motivated bid refusal to send information to rival providers; notes report by Office of the National Coordinator for Health Information Technology suggesting ways to combat information blocking; holds free sharing of information is essential to smooth functioning of health care system.,2015-04-17,article,Roadblocks to Sharing Medical Records,55302ba87988102e3082ae3b,Editorial,A report to Congress suggests ways to counter deliberate blocking of data between hospitals and doctors.,Opinion,,Roadblocks to Sharing Medical Records A report to Congress suggests ways to counter deliberate blocking of data between hospitals and doctors. Editorial warns that developers of health information technology and some medical centers are blocking transfer of electronic medical records in greed-motivated bid refusal to send information to rival providers; notes report by Office of the National Coordinator for Health Information Technology suggesting ways to combat information blocking; holds free sharing of information is essential to smooth functioning of health care system.,Editorial
5,,2015-04-08,article,Better Health Coverage,5524d6e67988102f94b8c3c7,Letters,"Barry Feldman, a reader, responds to a column by Paul Krugman.",Opinion,,"Better Health Coverage Barry Feldman, a reader, responds to a column by Paul Krugman.  ",Letter
6,Test your knowledge of this week’s health news.,2015-04-10,blogpost,"The Weekly Health Quiz: Struck by Lightning, a Baseball Pioneer and Belly Dancer&rsquo;s   Disease",5528107379881039ac5efaaa,Science,,false,false,"The Weekly Health Quiz: Struck by Lightning, a Baseball Pioneer and Belly Dancer&rsquo;s   Disease   Test your knowledge of this week’s health news.",Blog
7,Vows column on wedding of Eva Hagberg and Winston Fisher.,2015-04-19,article,"Making a Home, in Sickness and Health",553157d479881067343c6f8a,Society,A journey of love leads to good health.,Fashion & Style,Weddings,"Making a Home, in Sickness and Health A journey of love leads to good health. Vows column on wedding of Eva Hagberg and Winston Fisher.",News
8,,2015-04-07,article,"Better Information, for a Better Health System ",5523856379881007fa2a3d8f,Letters,Dr. Andrew Gettinger of the Department of Health and Human Services responds to a Sunday Review article.,Opinion,,"Better Information, for a Better Health System  Dr. Andrew Gettinger of the Department of Health and Human Services responds to a Sunday Review article.  ",Letter
9,"Michael Megginson is among a number of prisoners at Rikers Island jail complex who are mentally ill; Megginson's long history of violence and odd behavior behind bars has some convinced that he does not belong in jail, but few agree on where else he should go; New York City police officers, correction officers and even elected officials like Mayor Bill de Blasio are increasingly vocal about damage that incarceration can do to the mentally ill.",2015-04-12,article,"For Mentally Ill Inmates at Rikers Island, a Cycle of Jail and Hospitals",5527911a7988100ca6d45219,Metro,"Michael Megginson has been in and out of psychiatric hospitals since the age of 6. Experts believe he does not belong in jail, but there is no agreement about where else he could go.",N.Y. / Region,,"For Mentally Ill Inmates at Rikers Island, a Cycle of Jail and Hospitals Michael Megginson has been in and out of psychiatric hospitals since the age of 6. Experts believe he does not belong in jail, but there is no agreement about where else he could go. Michael Megginson is among a number of prisoners at Rikers Island jail complex who are mentally ill; Megginson's long history of violence and odd behavior behind bars has some convinced that he does not belong in jail, but few agree on where else he should go; New York City police officers, correction officers and even elected officials like Mayor Bill de Blasio are increasingly vocal about damage that incarceration can do to the mentally ill.",News
