,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"MERS virus in South Korea, where there are at least 95 confirmed cases, has killed at least seven patients and nation's crowded hospitals are believed to be hotbed of infection; South Korea has biggest infection rate of MERS, or Middle East respiratory syndrome, outside of Saudi Arabia, where virus first emerged in 2012.",2015-06-09,article,"MERS Virus’s Path: One Man, Many South Korean Hospitals",55763f0779881065a6aa43a9,Foreign,"The MERS virus found ideal conditions to spread quickly in South Korea, where emergency rooms are known to cram seats and beds closely together and patients hospital shop.",World,Asia Pacific,"MERS Virus’s Path: One Man, Many South Korean Hospitals The MERS virus found ideal conditions to spread quickly in South Korea, where emergency rooms are known to cram seats and beds closely together and patients hospital shop. MERS virus in South Korea, where there are at least 95 confirmed cases, has killed at least seven patients and nation's crowded hospitals are believed to be hotbed of infection; South Korea has biggest infection rate of MERS, or Middle East respiratory syndrome, outside of Saudi Arabia, where virus first emerged in 2012.",News
1,"National Institutes of Health suspends operations at specialized pharmacy at its clinical center in Bethesda, Md; two vials of albumin, fluid used in experimental studies, had been found to contain fungus; patients potentially exposed to fungus are under observation.",2015-06-05,article,N.I.H. Finds Contamination at Pharmacy,5570ea277988103be36e99dd,National,"The National Institutes of Health said on Thursday that it had suspended operations at a pharmacy that is part of its clinical center in Bethesda, Md., after fluid used in experimental studies was found to be contaminated with fungus.",Health,,"N.I.H. Finds Contamination at Pharmacy The National Institutes of Health said on Thursday that it had suspended operations at a pharmacy that is part of its clinical center in Bethesda, Md., after fluid used in experimental studies was found to be contaminated with fungus. National Institutes of Health suspends operations at specialized pharmacy at its clinical center in Bethesda, Md; two vials of albumin, fluid used in experimental studies, had been found to contain fungus; patients potentially exposed to fungus are under observation.",News
2,"Strong response by South Korean authorities to deadly Middle East respiratory syndrome outbreak, including doubling of the number of people quarantined and temporarily closing over 700 schools, raises fear level among populace and elicits criticism that officials are mishandling crisis.",2015-06-04,article,Fears of MERS Virus Prompt Broadening of Cautions in South Korea,556ec72479881067f08c705c,Foreign,"Officials nearly doubled the number of quarantined people, temporarily closed over 700 kindergartens and schools, and refused to identify the hospitals where infections had been confirmed.",World,Asia Pacific,"Fears of MERS Virus Prompt Broadening of Cautions in South Korea Officials nearly doubled the number of quarantined people, temporarily closed over 700 kindergartens and schools, and refused to identify the hospitals where infections had been confirmed. Strong response by South Korean authorities to deadly Middle East respiratory syndrome outbreak, including doubling of the number of people quarantined and temporarily closing over 700 schools, raises fear level among populace and elicits criticism that officials are mishandling crisis.",News
3,,2015-05-24,article,Emergency Fund Created for World Health Agency,556127037988107411514d08,Foreign,Diplomats approved the creation of a $100 million fund to help the World Health Organization respond rapidly to emergencies.,World,,Emergency Fund Created for World Health Agency Diplomats approved the creation of a $100 million fund to help the World Health Organization respond rapidly to emergencies.  ,Brief
4,,2015-06-01,multimedia,Beijing Cracks Down on Smoking,556c66df79881019f18de66b,World / Asia Pacific,"The Chinese capital has raised fines on smoking indoors. Unlike with previous bans, restaurants appeared to be respecting the rules, but questions remained about enforcement.",World,Asia Pacific,"Beijing Cracks Down on Smoking The Chinese capital has raised fines on smoking indoors. Unlike with previous bans, restaurants appeared to be respecting the rules, but questions remained about enforcement.  ",Video
5,,2015-06-09,multimedia,W.H.O. to Look Into MERS in South Korea,5576c1fa79881065a6aa44d1,World / Asia Pacific,"Keiji Fukuda, the World Health Organization’s assistant director general for health security, spoke on Tuesday with experts in the country to investigate the recent outbreak of MERS.",World,Asia Pacific,"W.H.O. to Look Into MERS in South Korea Keiji Fukuda, the World Health Organization’s assistant director general for health security, spoke on Tuesday with experts in the country to investigate the recent outbreak of MERS.  ",Video
6,"Airstrikes by Saudi-led coalition against Houthi rebels in Yemen result in one-day death toll of 80 people; World Health Organization reports that nearly 2,000 Yemenis have died in conflict since March, and that 8.6 million people out of population of 24 million are in urgent need of medical help for war-related injuries and common medical issues.",2015-05-28,article,Medical Need Climbs Alongside Death Toll in Yemen,55666bd67988107955f19d13,Foreign,"Some 8.6 million people, or about a third of the country&#8217;s population, were in &#8220;urgent need of medical help,&#8221; the World Health Organization warned.",World,Middle East,"Medical Need Climbs Alongside Death Toll in Yemen Some 8.6 million people, or about a third of the country&#8217;s population, were in &#8220;urgent need of medical help,&#8221; the World Health Organization warned. Airstrikes by Saudi-led coalition against Houthi rebels in Yemen result in one-day death toll of 80 people; World Health Organization reports that nearly 2,000 Yemenis have died in conflict since March, and that 8.6 million people out of population of 24 million are in urgent need of medical help for war-related injuries and common medical issues.",News
7,"United Nations member states agree to World Health Organization plan for addressing problem of antibiotic-resistant superbugs; plan emphasizes development of new antibiotics, surveillance of resistance and better control of existing drugs.",2015-05-26,article,W.H.O. Plan Aims to Combat Resistance to Antibiotic Drugs,55637ad87988102842b84872,Foreign,"Among other steps, the plan emphasizes the need to develop surveillance of resistance and develop mechanisms to support investment in new antibiotics.",World,,"W.H.O. Plan Aims to Combat Resistance to Antibiotic Drugs Among other steps, the plan emphasizes the need to develop surveillance of resistance and develop mechanisms to support investment in new antibiotics. United Nations member states agree to World Health Organization plan for addressing problem of antibiotic-resistant superbugs; plan emphasizes development of new antibiotics, surveillance of resistance and better control of existing drugs.",News
8,"Woman is diagnosed with XDR-TB, drug-resistant strain of tuberculosis, after traveling to India; Centers for Disease Control and Prevention seek to identify people who may have come into contact with her in weeks between her return to country and hospitalization.",2015-06-09,article,Tuberculosis Case Prompts Search for Patient’s Fellow Airline Passengers,5576381a79881065a6aa439d,Foreign,"? The risk to the public is low, the C.D.C. said Monday, although the patient, who traveled from India in April, has been hospitalized in Maryland with a drug-resistant form of the disease.",Science,,"Tuberculosis Case Prompts Search for Patient’s Fellow Airline Passengers ? The risk to the public is low, the C.D.C. said Monday, although the patient, who traveled from India in April, has been hospitalized in Maryland with a drug-resistant form of the disease. Woman is diagnosed with XDR-TB, drug-resistant strain of tuberculosis, after traveling to India; Centers for Disease Control and Prevention seek to identify people who may have come into contact with her in weeks between her return to country and hospitalization.",News
9,"North Shore-Long Island Jewish Health System hospital group announces it has applied for license to distributed medical marijuana in New York, in partnership with Colorado-based medical marijuana company Silverpeak Apothecary.",2015-06-06,article,Hospitals Back Providers Applying for New York State Marijuana Licenses,55725af0798810048436a06e,Metro,"New York&#8217;s new medical marijuana program has drawn the interest of several hospitals, which have formed alliances with growers to try to make the drug accessible to their patients.",N.Y. / Region,,"Hospitals Back Providers Applying for New York State Marijuana Licenses New York&#8217;s new medical marijuana program has drawn the interest of several hospitals, which have formed alliances with growers to try to make the drug accessible to their patients. North Shore-Long Island Jewish Health System hospital group announces it has applied for license to distributed medical marijuana in New York, in partnership with Colorado-based medical marijuana company Silverpeak Apothecary.",News
10,Test your knowledge of this week’s health news.,2015-05-29,blogpost,"The Weekly Health Quiz: College Stress, Flossing and Back Pain Relief",55687b3d7988102c02bd6b89,Science,,false,false,"The Weekly Health Quiz: College Stress, Flossing and Back Pain Relief   Test your knowledge of this week’s health news.",Blog
11,Test your knowledge of this week’s health news.,2015-06-05,blogpost,"The Weekly Health Quiz: Libido, Lice and Drinking to Excess",5571cd447988100484369ea2,Science,,false,false,"The Weekly Health Quiz: Libido, Lice and Drinking to Excess   Test your knowledge of this week’s health news.",Blog
12,,2015-06-02,article,Health Care Enrollments by State,556e1aad79881067f08c6e95,None,"Health insurance enrollments under President Barack Obama's Affordable Care Act, including those receiving monthly subsidies to cover policy costs, by state:",U.S.,,"Health Care Enrollments by State Health insurance enrollments under President Barack Obama's Affordable Care Act, including those receiving monthly subsidies to cover policy costs, by state:  ",News
13,"Republican-led House in Florida votes 72-to-41 to defeat bill to expand health coverage to as many as 650,000 uninsured residents; it marks third time Florida lawmakers have rejected health care expansion since passage of Affordable Care Act.",2015-06-06,article,Health Care Expansion Is Rejected in Florida,557243dd798810048436a03f,National,It was the third time that legislators had considered and spurned some version of health care expansion since passage of the Affordable Care Act.,U.S.,,"Health Care Expansion Is Rejected in Florida It was the third time that legislators had considered and spurned some version of health care expansion since passage of the Affordable Care Act. Republican-led House in Florida votes 72-to-41 to defeat bill to expand health coverage to as many as 650,000 uninsured residents; it marks third time Florida lawmakers have rejected health care expansion since passage of Affordable Care Act.",News
14,,2015-06-06,article,Britain’s Health Service Aided Struggling Computer Sciences,557220277988100484369ff6,Business,"The National Health Service made payments that the company recorded in a way that made it look stronger than it truly was, according to the S.E.C.",Business Day,DealBook,"Britain’s Health Service Aided Struggling Computer Sciences The National Health Service made payments that the company recorded in a way that made it look stronger than it truly was, according to the S.E.C.  ",News
